Year,Race,Sex,Age,Pop
2000,AI,F,20-24,2896
2000,API,F,20-24,24389
2000,B,F,20-24,94938
2000,W,F,20-24,336271
2000,AI,M,20-24,3110
2000,API,M,20-24,25984
2000,B,M,20-24,92732
2000,W,M,20-24,342887
2000,AI,F,25-29,2886
2000,API,F,25-29,32458
2000,B,F,25-29,96676
2000,W,F,25-29,352377
2000,AI,M,25-29,3091
2000,API,M,25-29,32476
2000,B,M,25-29,90948
2000,W,M,25-29,358360
2000,AI,F,30-34,2898
2000,API,F,30-34,31151
2000,B,F,30-34,97651
2000,W,F,30-34,375784
2000,AI,M,30-34,2975
2000,API,M,30-34,31043
2000,B,M,30-34,90692
2000,W,M,30-34,383424
2000,AI,F,35-39,3661
2000,API,F,35-39,27942
2000,B,F,35-39,107328
2000,W,F,35-39,450657
2000,AI,M,35-39,3430
2000,API,M,35-39,28153
2000,B,M,35-39,97766
2000,W,M,35-39,450942
2000,AI,F,40-44,3774
2000,API,F,40-44,26795
2000,B,F,40-44,101344
2000,W,F,40-44,471210
2000,AI,M,40-44,3561
2000,API,M,40-44,24321
2000,B,M,40-44,94686
2000,W,M,40-44,475307
2000,AI,F,45-49,3311
2000,API,F,45-49,23868
2000,B,F,45-49,84483
2000,W,F,45-49,434028
2000,AI,M,45-49,3237
2000,API,M,45-49,20945
2000,B,M,45-49,77045
2000,W,M,45-49,432612
2000,AI,F,50-54,2939
2000,API,F,50-54,19256
2000,B,F,50-54,64651
2000,W,F,50-54,388793
2000,AI,M,50-54,2782
2000,API,M,50-54,16888
2000,B,M,50-54,57547
2000,W,M,50-54,385033
2000,AI,F,55-59,1925
2000,API,F,55-59,12057
2000,B,F,55-59,45477
2000,W,F,55-59,306528
2000,AI,M,55-59,2097
2000,API,M,55-59,11304
2000,B,M,55-59,38697
2000,W,M,55-59,298786
2000,AI,F,60-64,1272
2000,API,F,60-64,8689
2000,B,F,60-64,36246
2000,W,F,60-64,245381
2000,AI,M,60-64,1403
2000,API,M,60-64,7698
2000,B,M,60-64,29434
2000,W,M,60-64,232016
2000,AI,F,65-69,893
2000,API,F,65-69,6488
2000,B,F,65-69,31857
2000,W,F,65-69,222337
2000,AI,M,65-69,892
2000,API,M,65-69,5251
2000,B,M,65-69,24308
2000,W,M,65-69,200326
2000,AI,F,70-74,661
2000,API,F,70-74,4767
2000,B,F,70-74,27155
2000,W,F,70-74,209594
2000,AI,M,70-74,630
2000,API,M,70-74,3371
2000,B,M,70-74,18277
2000,W,M,70-74,171798
2000,AI,F,75-79,455
2000,API,F,75-79,2880
2000,B,F,75-79,20521
2000,W,F,75-79,186174
2000,AI,M,75-79,358
2000,API,M,75-79,2104
2000,B,M,75-79,12845
2000,W,M,75-79,132308
2000,AI,F,80-84,285
2000,API,F,80-84,1560
2000,B,F,80-84,13867
2000,W,F,80-84,131850
2000,AI,M,80-84,185
2000,API,M,80-84,1045
2000,B,M,80-84,7220
2000,W,M,80-84,78861
2000,AI,F,85+,277
2000,API,F,85+,1091
2000,B,F,85+,15222
2000,W,F,85+,133641
2000,AI,M,85+,112
2000,API,M,85+,655
2000,B,M,85+,5860
2000,W,M,85+,51540
2001,AI,F,20-24,3108
2001,API,F,20-24,26545
2001,B,F,20-24,99423
2001,W,F,20-24,348860
2001,AI,M,20-24,3284
2001,API,M,20-24,27790
