GEOID,Age,Race,estimate,moe
48019000101,65-74,LATINO,17,130.26895255585654
48019000101,65-74,WHITE,283,104.80458005259122
48019000101,75-84,API,0,127
48019000101,75-84,BLACK,0,127
48019000101,75-84,LATINO,4,8
48019000101,75-84,WHITE,120,92
48019000102,55-64,API,0,127
48019000102,55-64,BLACK,0,127
48019000102,55-64,LATINO,52,53.823786563191554
48019000102,55-64,WHITE,673,161.02794788483146
48019000102,65-74,API,0,127
48019000102,65-74,BLACK,0,127
48019000102,65-74,LATINO,53,148.00337833982033
48019000102,65-74,WHITE,852,178.33115263464205
48019000102,75-84,API,0,127
48019000102,75-84,BLACK,0,127
