GEOID,hh_pop,api,black,latino,white,pov_population,pov_rate,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_black_rate2,pov_latino_rate2,pov_white_rate2,median_income,per_capita_income,nativity
48061013700,4342,0.0027637033625057578,0.00391524643021649,0.9502533394748963,0.04675264854905573,4338,0.49861687413554634,NA,NA,0.5063994204298479,0.3350253807106599,0,0,0.483402489626556,0.015214384508990318,24904.97627520759,10179.94068801898,0.362496866382552
48061013801,2954,6.770480704129993e-4,0.003723764387271496,0.9752877454299256,0.022004062288422478,3016,0.6372679045092838,NA,0.4,0.6414141414141414,0.3695652173913043,0,0.001326259946949602,0.631631299734748,0.005636604774535809,15528.950177935943,9218.220640569394,0.3946604759141033
48061013802,4026,0,0.0037257824143070045,0.9741679085941382,0.02533532041728763,4017,0.5065969629076426,NA,1,0.5040160642570282,1,0,0.0012447099825740602,0.4998755290017426,0.006721433905899925,22147.846975088967,9024.685646500593,0.3741144414168937
48061013901,3328,0,0.006310096153846154,0.9891826923076923,0.009915865384615384,3328,0.5228365384615384,NA,NA,0.5330882352941176,0,0,0,0.5228365384615384,0,31092.14116251483,8554.246737841044,0.3432147562582345
48061013902,4611,4.3374539145521576e-4,6.506180871828237e-4,0.9809152027759706,0.016916070266753416,4584,0.4317190226876091,NA,NA,0.4333627537511033,0.28846153846153844,0,0,0.42844677137870857,0.0032722513089005235,25860.741399762752,8740.338078291816,0.36862275449101795
48061013903,4554,0,0.005928853754940711,0.9828722002635046,0.014931927975406236,4545,0.4213421342134213,NA,1,0.41772717124358116,0.6666666666666666,0,0.0011001100110011,0.4116611661166117,0.009680968096809682,27368.8256227758,8828.173190984578,0.3770372172220871
48061014001,2709,0.006644518272425249,0.006275378368401624,0.9269102990033222,0.05832410483573274,2721,0.5755237045203969,NA,1,0.6037066246056783,0.16666666666666666,0,0.007717750826901874,0.5626607864755605,0.011025358324145534,14887.307236061684,10114.436536180308,0.4256978653530378
48061014002,2596,0,0.0061633281972265025,0.961864406779661,0.030816640986132512,2573,0.6105713175281772,NA,NA,0.6161417322834646,0.18181818181818182,0,0,0.6082394092499028,0.002331908278274388,16438.56465005931,7396.014234875444,0.47983367983367986
48061014100,4842,6.195786864931846e-4,0.0016522098306484924,0.9657166460140438,0.03180503923998348,4842,0.32445270549359767,NA,0,0.3235671514114628,0.38666666666666666,0,0,0.3124741842213961,0.01197852127220157,37767.60972716488,12719.715302491102,0.35929121007227793
48063950100,6793,0.0019137347269247754,0.14308847342852937,0.09171205652877963,0.756808479316944,6800,0.18029411764705883,0.6896551724137931,0.344364012409514,0.31545741324921134,0.1231741018555073,0.0058823529411764705,0.04897058823529412,0.029411764705882353,0.09176470588235294,50259.54922894425,25436.453143534993,0.06745231818886649
48063950200,4581,0.004365858982754857,0.2582405588299498,0.22549661645928837,0.5064396419995634,4542,0.2509907529722589,0,0.38078902229845624,0.46123650637880276,0.0985178727114211,0,0.0977542932628798,0.10347864376926465,0.04975781594011449,39152.12930011862,23306.079478054566,0.15523962393946342
48065950100,2702,0,0,0.04996299037749815,0.9289415247964471,2699,0.08781030011115228,0,NA,0.015748031496062992,0.09276289484206318,0,0,7.410151908114116e-4,0.08595776213412375,53768.487544483985,25582.348754448398,0.0140625
48065950200,3715,0.0016150740242261105,0.007537012113055182,0.0756393001345895,0.9009421265141319,3720,0.062096774193548386,0,0.25,0.2082018927444795,0.046879756468797565,0,0.001881720430107527,0.017741935483870968,0.04139784946236559,64534.988137603796,31136.80308422301,0.03993297961463278
48067950100,6290,0.0012718600953895071,0.1232114467408585,0.009062003179650238,0.8523052464228935,6288,0.14615139949109415,0,0.39253539253539255,0.09302325581395349,0.11098633726370953,0,0.04850508905852417,6.361323155216285e-4,0.09430661577608143,48557.930011862394,26593.196915776985,0.004046535154274153
48067950200,2839,0,0.31560408594575556,0.0038746037337090526,0.6622050017611835,2837,0.1942192456820585,1,0.32123212321232125,0.6,0.12526539278131635,0.0021149101163200562,0.10292562566090942,0.0021149101163200562,0.08318646457525555,36189.55516014235,24313.95017793594,0.013749535488665924
48067950300,1764,0.0017006802721088435,0.1320861678004535,0.017573696145124718,0.8361678004535147,1757,0.19180421172453044,1,0.3829787234042553,0.25806451612903225,0.15832762165867031,0.0022766078542970974,0.05122367672168469,0.004553215708594195,0.13147410358565736,39311.42348754448,19908.795966785292,0.006086427267194157
48067950400,5325,0.0024413145539906103,0.3188732394366197,0.013708920187793428,0.6508920187793428,5326,0.24596319939917385,1,0.42882147024504086,0.25,0.14810461357625623,0.005820503191888847,0.13800225309800976,0.0031918888471648517,0.09463011641006384,38849.91696322657,21318.623962040332,0.00909090909090909
48067950500,2859,0.0013990905911157748,0.05596362364463099,0.015389996502273523,0.9181532004197271,2840,0.13485915492957745,0.6666666666666666,0.32666666666666666,0.2608695652173913,0.1180797522260937,7.042253521126761e-4,0.017253521126760565,0.006338028169014085,0.1073943661971831,50058.570581257416,23538.321470937128,0.0059723777528928705
48067950600,5825,0.0010300429184549357,0.22128755364806868,0.015793991416309012,0.7536480686695279,5826,0.14589769996567112,0,0.3044953350296862,0,0.1070460704607046,0,0.061620322691383456,0,0.08135942327497425,42006.02609727165,22627.218268090153,0.012849850378454498
