Year,MSA,Age,zone,pop,lwr,upr,CV,.width
2013,Dallas,75-84,1,13108.007969851213,10763.224489699114,15352.6704982909,0.35012535994390925,0.9
2014,Dallas,75-84,1,13757.188286757424,11231.71861845549,16386.731147846258,0.3747141074134275,0.9
2015,Dallas,75-84,1,14424.057069301449,11689.101872694044,17163.18102586156,0.3795103643078294,0.9
2016,Dallas,75-84,1,14973.536578180325,12306.698265243636,17812.59557241969,0.36770854222905064,0.9
2017,Dallas,75-84,1,15359.330765703951,13000.399549869657,17859.793741119614,0.3163805940100308,0.9
2018,Dallas,75-84,1,15654.898621075006,13062.070350733284,18372.97716516902,0.3392488794073738,0.9
2019,Dallas,75-84,1,15789.12890236315,12121.687830119556,19440.305896459424,0.46352259909946614,0.9
1999,Houston,55-64,0,30940.60057079559,3959.953352913532,64237.31456053743,1.948163904242986,0.9
2000,Houston,55-64,0,26488,26488,26488,0,0.9
2001,Houston,55-64,0,42353.35022021964,12610.370173510417,74916.17699947944,1.471095120031945,0.9
2002,Houston,55-64,0,56053.605812363894,18506.89069827482,98756.28667985616,1.431654481786799,0.9
2003,Houston,55-64,0,68675.00446264136,24974.14243939193,115945.7484598724,1.324668367076238,0.9
2004,Houston,55-64,0,81065.94186785593,37237.0223688199,128059.94953089148,1.1203586249589297,0.9
2005,Houston,55-64,0,93425.33243738228,52087.37631636759,136416.4784242577,0.9026363611219808,0.9
2006,Houston,55-64,0,105715.51819661196,72608.42747118305,139598.36842980952,0.6336812428430532,0.9
2007,Houston,55-64,0,117572.26679350557,92262.89265469344,142741.62619730513,0.4293421817856795,0.9
2008,Houston,55-64,0,129429.04419559483,105971.39022821684,152666.7264671077,0.3607794257394367,0.9
2009,Houston,55-64,0,141182.01486360896,114883.12983174148,167182.29923384532,0.3704379021125902,0.9
2010,Houston,55-64,0,152286.23994922024,122578.08129014692,182466.60094698364,0.3932628428990466,0.9
2011,Houston,55-64,0,162993.99974955403,133393.15953290567,192098.98587005847,0.360171702193678,0.9
2012,Houston,55-64,0,173170.5590665419,149493.2123196607,197596.56056445508,0.27778017524509097,0.9
2013,Houston,55-64,0,182286.8492946376,159040.01494095722,203958.51752993427,0.24641658332891284,0.9
2014,Houston,55-64,0,190720.01163584788,166405.38114240835,216183.2308579866,0.2609996155548785,0.9
2015,Houston,55-64,0,198376.08760761563,171912.08694020603,226644.0508281696,0.2759000066390181,0.9
2016,Houston,55-64,0,204376.71756022496,177682.38230034703,231755.7512012336,0.2645769515549266,0.9
2017,Houston,55-64,0,209275.24311374887,187467.2770470143,231182.95035303957,0.20889080168103857,0.9
2018,Houston,55-64,0,212498.9852231504,188126.88427817193,237765.3957410033,0.23359411062930377,0.9
