GEOID,Age,Race,pop
48007950100,55-59,WHITE,384
48007950100,60-64,API,4
48007950100,60-64,BLACK,1
48007950100,60-64,LATINO,18
48007950100,60-64,WHITE,406
48007950100,65-69,API,16
48007950100,65-69,BLACK,0
48007950100,65-69,LATINO,13
48007950100,65-69,WHITE,467
48007950100,70-74,API,12
48007950100,70-74,BLACK,1
48007950100,70-74,LATINO,13
48007950100,70-74,WHITE,345
48007950100,75-79,API,2
48007950100,75-79,BLACK,0
48007950100,75-79,LATINO,11
48007950100,75-79,WHITE,285
48007950100,80-84,API,0
48007950100,80-84,BLACK,1
48007950100,80-84,LATINO,1
48007950100,80-84,WHITE,137
48007950200,50-54,API,0
48007950200,50-54,BLACK,1
48007950200,50-54,LATINO,3
48007950200,50-54,WHITE,125
48007950200,55-59,API,0
48007950200,55-59,BLACK,1
48007950200,55-59,LATINO,3
48007950200,55-59,WHITE,122
48007950200,60-64,API,0
48007950200,60-64,BLACK,0
48007950200,60-64,LATINO,2
48007950200,60-64,WHITE,129
48007950200,65-69,API,0
48007950200,65-69,BLACK,0
48007950200,65-69,LATINO,4
48007950200,65-69,WHITE,152
48007950200,70-74,API,0
48007950200,70-74,BLACK,0
48007950200,70-74,LATINO,2
48007950200,70-74,WHITE,147
48007950200,75-79,API,0
48007950200,75-79,BLACK,0
48007950200,75-79,LATINO,0
48007950200,75-79,WHITE,127
48007950200,80-84,API,0
48007950200,80-84,BLACK,0
48007950200,80-84,LATINO,0
48007950200,80-84,WHITE,75
48007950300,50-54,API,28
48007950300,50-54,BLACK,2
48007950300,50-54,LATINO,66
48007950300,50-54,WHITE,300
48007950300,55-59,API,10
48007950300,55-59,BLACK,6
48007950300,55-59,LATINO,54
48007950300,55-59,WHITE,298
48007950300,60-64,API,22
48007950300,60-64,BLACK,4
48007950300,60-64,LATINO,43
48007950300,60-64,WHITE,272
48007950300,65-69,API,14
48007950300,65-69,BLACK,2
48007950300,65-69,LATINO,44
48007950300,65-69,WHITE,249
48007950300,70-74,API,6
48007950300,70-74,BLACK,2
48007950300,70-74,LATINO,30
48007950300,70-74,WHITE,259
48007950300,75-79,API,0
48007950300,75-79,BLACK,3
48007950300,75-79,LATINO,10
48007950300,75-79,WHITE,193
48007950300,80-84,API,2
48007950300,80-84,BLACK,3
48007950300,80-84,LATINO,5
48007950300,80-84,WHITE,115
48007950400,50-54,API,16
48007950400,50-54,BLACK,3
48007950400,50-54,LATINO,44
48007950400,50-54,WHITE,139
48007950400,55-59,API,2
48007950400,55-59,BLACK,4
48007950400,55-59,LATINO,61
48007950400,55-59,WHITE,103
48007950400,60-64,API,4
48007950400,60-64,BLACK,10
48007950400,60-64,LATINO,45
48007950400,60-64,WHITE,98
48007950400,65-69,API,2
48007950400,65-69,BLACK,1
48007950400,65-69,LATINO,34
48007950400,65-69,WHITE,114
48007950400,70-74,API,8
48007950400,70-74,BLACK,0
48007950400,70-74,LATINO,28
48007950400,70-74,WHITE,104
48007950400,75-79,API,2
48007950400,75-79,BLACK,1
48007950400,75-79,LATINO,17
48007950400,75-79,WHITE,89
48007950400,80-84,API,0
